stock,name,market
060310,3S,KOSDAQ
054620,APS홀딩스,KOSDAQ
265520,AP시스템,KOSDAQ
211270,AP위성,KOSDAQ
032040,C&S자산관리,KOSDAQ
130960,CJ E&M,KOSDAQ
035760,CJ오쇼핑,KOSDAQ
051500,CJ프레시웨이,KOSDAQ
058820,CMG제약,KOSDAQ
023460,CNH,KOSDAQ
065770,CS,KOSDAQ
083660,CSA 코스믹,KOSDAQ
068790,DMS,KOSDAQ
241520,DSC인베스트먼트,KOSDAQ
037370,EG,KOSDAQ
079190,EMW,KOSDAQ
130500,GH신소재,KOSDAQ
032860,GMR 머티리얼즈,KOSDAQ
900290,GRT,KOSDAQ
083450,GST,KOSDAQ
028150,GS홈쇼핑,KOSDAQ
078150,HB테크놀러지,KOSDAQ
036640,HRS,KOSDAQ
225430,IBKS제3호스팩,KOSDAQ
254120,IBKS제5호스팩,KOSDAQ
264850,IBKS제6호스팩,KOSDAQ
252500,IBKS지엠비스팩,KOSDAQ
095340,ISC,KOSDAQ
099520,ITX엠투엠,KOSDAQ
067290,JW신약,KOSDAQ
035900,JYP Ent.,KOSDAQ
024120,KB오토시스,KOSDAQ
021320,KCC건설,KOSDAQ
036670,KCI,KOSDAQ
044180,KD건설,KOSDAQ
151860,KG ETS,KOSDAQ
046440,KG모빌리언스,KOSDAQ
035600,KG이니시스,KOSDAQ
060720,KH바텍,KOSDAQ
083470,KJ프리텍,KOSDAQ
122450,KMH,KOSDAQ
052900,KMH하이텍,KOSDAQ
058400,KNN,KOSDAQ
114450,KPX생명과학,KOSDAQ
036030,KTH,KOSDAQ
060370,KT서브마린,KOSDAQ
086960,MDS테크,KOSDAQ
065150,MP그룹,KOSDAQ
219550,MP한강,KOSDAQ
160550,NEW,KOSDAQ
104200,NHN벅스,KOSDAQ
060250,NHN한국사이버결제,KOSDAQ
030190,NICE평가정보,KOSDAQ
024940,PN풍년,KOSDAQ
091340,S&K폴리텍,KOSDAQ
019550,SBI인베스트먼트,KOSDAQ
950110,SBI핀테크솔루션즈,KOSDAQ
046140,SBS콘텐츠허브,KOSDAQ
036120,SCI평가정보,KOSDAQ
099220,SDN,KOSDAQ
036540,SFA반도체,KOSDAQ
040610,SG&G,KOSDAQ
049470,SGA,KOSDAQ
184230,SGA솔루션즈,KOSDAQ
090730,SIMPAC Metal,KOSDAQ
207930,SK1호스팩,KOSDAQ
232330,SK3호스팩,KOSDAQ
057500,SKC 솔믹스,KOSDAQ
178920,SKC코오롱PI,KOSDAQ
036490,SK머티리얼즈,KOSDAQ
052260,SK바이오랜드,KOSDAQ
048550,SM C&C,KOSDAQ
089230,THE E&M,KOSDAQ
032540,TJ미디어,KOSDAQ
048770,TPC,KOSDAQ
052300,W홀딩컴퍼니,KOSDAQ
040300,YTN,KOSDAQ
051390,YW,KOSDAQ
052220,iMBC,KOSDAQ
079940,가비아,KOSDAQ
078890,가온미디어,KOSDAQ
192410,감마누,KOSDAQ
024840,갑을메탈,KOSDAQ
217730,강스템바이오텍,KOSDAQ
094480,갤럭시아컴즈,KOSDAQ
063080,게임빌,KOSDAQ
039240,경남스틸,KOSDAQ
053950,경남제약,KOSDAQ
011040,경동제약,KOSDAQ
024910,경창산업,KOSDAQ
089890,고려반도체,KOSDAQ
198440,고려시멘트,KOSDAQ
049720,고려신용정보,KOSDAQ
014570,고려제약,KOSDAQ
098460,고영,KOSDAQ
038530,골드퍼시픽,KOSDAQ
206660,골든브릿지제2호스팩,KOSDAQ
219580,골든브릿지제3호스팩,KOSDAQ
227950,골든브릿지제4호스팩,KOSDAQ
900280,골든센츄리,KOSDAQ
215000,골프존,KOSDAQ
121440,골프존뉴딘,KOSDAQ
014200,광림,KOSDAQ
026910,광진실업,KOSDAQ
090150,광진윈텍,KOSDAQ
223040,교보5호스팩,KOSDAQ
267320,교보7호스팩,KOSDAQ
242040,교보비엔케이스팩,KOSDAQ
053270,구영테크,KOSDAQ
066620,국보디자인,KOSDAQ
043650,국순당,KOSDAQ
006050,국영지앤엠,KOSDAQ
060480,국일신동,KOSDAQ
078130,국일제지,KOSDAQ
019010,그랜드백화점,KOSDAQ
900070,글로벌에스엠,KOSDAQ
019660,글로본,KOSDAQ
053260,금강철강,KOSDAQ
036190,금화피에스시,KOSDAQ
049080,기가레인,KOSDAQ
035460,기산텔레콤,KOSDAQ
187790,나노,KOSDAQ
151910,나노스,KOSDAQ
121600,나노신소재,KOSDAQ
039860,나노엔텍,KOSDAQ
091970,나노캠텍,KOSDAQ
051490,나라엠앤디,KOSDAQ
190510,나무가,KOSDAQ
089600,나스미디어,KOSDAQ
138610,나이벡,KOSDAQ
130580,나이스디앤비,KOSDAQ
036800,나이스정보통신,KOSDAQ
091590,남화토건,KOSDAQ
168330,내츄럴엔도텍,KOSDAQ
072770,네오디안테크놀로지,KOSDAQ
212560,네오오토,KOSDAQ
095660,네오위즈,KOSDAQ
042420,네오위즈홀딩스,KOSDAQ
085910,네오티스,KOSDAQ
092730,네오팜,KOSDAQ
101400,네오피델리티,KOSDAQ
153460,네이블,KOSDAQ
007390,네이처셀,KOSDAQ
033640,네패스,KOSDAQ
087730,네패스신소재,KOSDAQ
073070,넥센테크,KOSDAQ
089140,넥스턴,KOSDAQ
065170,넥스트BT,KOSDAQ
139670,넥스트리밍,KOSDAQ
051980,넥스트바이오홀딩스,KOSDAQ
137940,넥스트아이,KOSDAQ
092600,넥스트칩,KOSDAQ
041140,넥슨지티,KOSDAQ
217270,넵튠,KOSDAQ
225570,넷게임즈,KOSDAQ
144510,녹십자랩셀,KOSDAQ
031390,녹십자셀,KOSDAQ
142280,녹십자엠에스,KOSDAQ
054050,농우바이오,KOSDAQ
040160,누리텔레콤,KOSDAQ
069140,누리플랜,KOSDAQ
126870,뉴로스,KOSDAQ
060260,뉴보텍,KOSDAQ
012340,뉴인텍,KOSDAQ
222040,뉴트리바이오텍,KOSDAQ
144960,뉴파워프라즈마,KOSDAQ
900100,뉴프라이드,KOSDAQ
085670,뉴프렉스,KOSDAQ
053290,능률교육,KOSDAQ
222810,닉스테크,KOSDAQ
119860,다나와,KOSDAQ
064260,다날,KOSDAQ
093640,다믈멀티미디어,KOSDAQ
039560,다산네트웍스,KOSDAQ
032190,다우데이타,KOSDAQ
068240,다원시스,KOSDAQ
020400,대동금속,KOSDAQ
008830,대동기어,KOSDAQ
048470,대동스틸,KOSDAQ
004780,대륙제관,KOSDAQ
017650,대림제지,KOSDAQ
007720,대명코퍼레이션,KOSDAQ
078140,대봉엘에스,KOSDAQ
036480,대성미생물,KOSDAQ
025440,대성엘텍,KOSDAQ
027830,대성창투,KOSDAQ
104040,대성파인텍,KOSDAQ
262830,대신밸런스제4호스팩,KOSDAQ
020180,대신정보통신,KOSDAQ
045390,대아티아이,KOSDAQ
108380,대양전기공업,KOSDAQ
006580,대양제지,KOSDAQ
215580,대우스팩3호,KOSDAQ
048910,대원미디어,KOSDAQ
005710,대원산업,KOSDAQ
071460,대유위니아,KOSDAQ
120240,대정화금,KOSDAQ
003310,대주산업,KOSDAQ
078600,대주전자재료,KOSDAQ
065690,대진디엠피,KOSDAQ
096350,대창솔루션,KOSDAQ
140520,대창스틸,KOSDAQ
131220,대한과학,KOSDAQ
010170,대한광통신,KOSDAQ
054670,대한뉴팜,KOSDAQ
023910,대한약품,KOSDAQ
021040,대호피앤씨,KOSDAQ
021045,대호피앤씨우,KOSDAQ
067080,대화제약,KOSDAQ
192080,더블유게임즈,KOSDAQ
213420,덕산네오룩스,KOSDAQ
077360,덕산하이메탈,KOSDAQ
090410,덕신하우징,KOSDAQ
194480,데브시스터즈,KOSDAQ
017680,데코앤이,KOSDAQ
206560,덱스터,KOSDAQ
067990,도이치모터스,KOSDAQ
100130,동국S&C,KOSDAQ
005160,동국산업,KOSDAQ
075970,동국알앤에스,KOSDAQ
086450,동국제약,KOSDAQ
099410,동방선기,KOSDAQ
045890,동부라이텍,KOSDAQ
226440,동부스팩3호,KOSDAQ
230490,동부제4호스팩,KOSDAQ
033500,동성화인텍,KOSDAQ
025950,동신건설,KOSDAQ
088130,동아엘텍,KOSDAQ
041930,동아화성,KOSDAQ
060380,동양에스텍,KOSDAQ
079960,동양이엔피,KOSDAQ
228340,동양파일,KOSDAQ
104460,동양피엔에프,KOSDAQ
088910,동우팜투테이블,KOSDAQ
094170,동운아나텍,KOSDAQ
013120,동원개발,KOSDAQ
109860,동일금속,KOSDAQ
032960,동일기연,KOSDAQ
023790,동일철강,KOSDAQ
005290,동진쎄미켐,KOSDAQ
025900,동화기업,KOSDAQ
078590,두올산업,KOSDAQ
030350,드래곤플라이,KOSDAQ
203650,드림시큐리티,KOSDAQ
073190,디비케이,KOSDAQ
066670,디스플레이텍,KOSDAQ
214680,디알텍,KOSDAQ
109740,디에스케이,KOSDAQ
090710,디에스티로봇,KOSDAQ
131030,디에이치피코리아,KOSDAQ
196490,디에이테크놀로지,KOSDAQ
066900,디에이피,KOSDAQ
127120,디엔에이링크,KOSDAQ
092070,디엔에프,KOSDAQ
101000,디엠씨,KOSDAQ
134580,디엠티,KOSDAQ
039840,디오,KOSDAQ
079810,디이엔티,KOSDAQ
113810,디젠스,KOSDAQ
043360,디지아이,KOSDAQ
106520,디지탈옵틱,KOSDAQ
068930,디지털대성,KOSDAQ
033130,디지틀조선,KOSDAQ
033310,디케이디앤아이,KOSDAQ
105740,디케이락,KOSDAQ
187220,디티앤씨,KOSDAQ
131180,딜리,KOSDAQ
042510,라온시큐어,KOSDAQ
050120,라이브플렉스,KOSDAQ
171120,라이온켐텍,KOSDAQ
069540,라이트론,KOSDAQ
171010,램테크놀러지,KOSDAQ
084650,랩지노믹스,KOSDAQ
141080,레고켐바이오,KOSDAQ
060300,레드로버,KOSDAQ
038390,레드캡투어,KOSDAQ
228850,레이언스,KOSDAQ
047440,레이젠,KOSDAQ
238120,로고스바이오,KOSDAQ
090360,로보스타,KOSDAQ
900260,로스웰,KOSDAQ
016170,로엔,KOSDAQ
067730,로지시스,KOSDAQ
071280,로체시스템즈,KOSDAQ
038060,루멘스,KOSDAQ
082800,루미마이크로,KOSDAQ
085370,루트로닉,KOSDAQ
08537M,루트로닉3우C,KOSDAQ
060240,룽투코리아,KOSDAQ
042940,르네코,KOSDAQ
058470,리노공업,KOSDAQ
039980,리노스,KOSDAQ
016100,리더스코스메틱,KOSDAQ
197210,리드,KOSDAQ
012700,리드코프,KOSDAQ
038340,리젠,KOSDAQ
131100,리켐,KOSDAQ
042500,링네트,KOSDAQ
098120,마이크로컨텍솔,KOSDAQ
147760,마이크로프랜드,KOSDAQ
035480,마제스타,KOSDAQ
038290,마크로젠,KOSDAQ
267980,매일유업,KOSDAQ
005990,매일홀딩스,KOSDAQ
127160,매직마이크로,KOSDAQ
093520,매커스,KOSDAQ
141070,맥스로텍,KOSDAQ
067280,멀티캠퍼스,KOSDAQ
072870,메가스터디,KOSDAQ
215200,메가스터디교육,KOSDAQ
133750,메가엠디,KOSDAQ
041920,메디아나,KOSDAQ
086900,메디톡스,KOSDAQ
078160,메디포스트,KOSDAQ
065650,메디프론,KOSDAQ
021880,메이슨캐피탈,KOSDAQ
140410,메지온,KOSDAQ
059210,메타바이오메드,KOSDAQ
058110,멕아이씨에스,KOSDAQ
096640,멜파스,KOSDAQ
149940,모다,KOSDAQ
080420,모다이노칩,KOSDAQ
080160,모두투어,KOSDAQ
100030,모바일리더,KOSDAQ
087260,모바일어플라이언스,KOSDAQ
101330,모베이스,KOSDAQ
250060,모비스,KOSDAQ
033200,모아텍,KOSDAQ
006920,모헨즈,KOSDAQ
001810,무림SP,KOSDAQ
161570,미동앤씨네마,KOSDAQ
095500,미래나노텍,KOSDAQ
265480,미래에셋대우스팩1호,KOSDAQ
215750,미래에셋제3호스팩,KOSDAQ
239340,미래에셋제5호스팩,KOSDAQ
049950,미래컴퍼니,KOSDAQ
213090,미래테크놀로지,KOSDAQ
207760,미스터블루,KOSDAQ
059090,미코,KOSDAQ
201490,미투온,KOSDAQ
214180,민앤지,KOSDAQ
206640,바디텍메드,KOSDAQ
018700,바른손,KOSDAQ
035620,바른손이앤에이,KOSDAQ
064520,바른전자,KOSDAQ
029480,바른테크놀로지,KOSDAQ
053030,바이넥스,KOSDAQ
084990,바이로메드,KOSDAQ
064550,바이오니아,KOSDAQ
208710,바이오로그디바이스,KOSDAQ
142760,바이오리더스,KOSDAQ
065940,바이오빌,KOSDAQ
038460,바이오스마트,KOSDAQ
086040,바이오톡스텍,KOSDAQ
032980,바이온,KOSDAQ
043150,바텍,KOSDAQ
046310,백금T&A,KOSDAQ
036620,버추얼텍,KOSDAQ
177350,베셀,KOSDAQ
225530,보광산업,KOSDAQ
250000,보라티알,KOSDAQ
014100,보령메디앙스,KOSDAQ
006910,보성파워텍,KOSDAQ
014470,부방,KOSDAQ
008470,부스타,KOSDAQ
100120,뷰웍스,KOSDAQ
066980,브레인콘텐츠,KOSDAQ
064480,브리지텍,KOSDAQ
251630,브이원텍,KOSDAQ
033560,블루콤,KOSDAQ
121800,비덴트,KOSDAQ
200780,비씨월드제약,KOSDAQ
141000,비아트론,KOSDAQ
090460,비에이치,KOSDAQ
083650,비에이치아이,KOSDAQ
086670,비엠티,KOSDAQ
082920,비츠로셀,KOSDAQ
054220,비츠로시스,KOSDAQ
042370,비츠로테크,KOSDAQ
032850,비트컴퓨터,KOSDAQ
093190,빅솔론,KOSDAQ
065450,빅텍,KOSDAQ
072950,빛샘전자,KOSDAQ
143240,사람인에이치알,KOSDAQ
123260,사파이어테크놀로지,KOSDAQ
100090,삼강엠앤티,KOSDAQ
122350,삼기오토모티브,KOSDAQ
014970,삼륭물산,KOSDAQ
018310,삼목에스폼,KOSDAQ
053700,삼보모터스,KOSDAQ
009620,삼보산업,KOSDAQ
023600,삼보판지,KOSDAQ
111870,삼본정밀전자,KOSDAQ
009300,삼아제약,KOSDAQ
225190,삼양옵틱스,KOSDAQ
054540,삼영엠텍,KOSDAQ
065570,삼영이엔씨,KOSDAQ
082660,삼우엠스,KOSDAQ
073640,삼원테크,KOSDAQ
032280,삼일,KOSDAQ
002290,삼일기업공사,KOSDAQ
037460,삼지전자,KOSDAQ
032750,삼진,KOSDAQ
054090,삼진엘앤디,KOSDAQ
000250,삼천당제약,KOSDAQ
024950,삼천리자전거,KOSDAQ
038500,삼표시멘트,KOSDAQ
017480,삼현철강,KOSDAQ
046390,삼화네트웍스,KOSDAQ
027580,상보,KOSDAQ
091580,상신이디피,KOSDAQ
089980,상아프론테크,KOSDAQ
042600,새로닉스,KOSDAQ
038070,서린바이오,KOSDAQ
006730,서부T&D,KOSDAQ
079650,서산,KOSDAQ
100660,서암기계공업,KOSDAQ
012860,서연전자,KOSDAQ
019770,서연탑메탈,KOSDAQ
043710,서울리거,KOSDAQ
046890,서울반도체,KOSDAQ
063170,서울옥션,KOSDAQ
027040,서울전자통신,KOSDAQ
018680,서울제약,KOSDAQ
093920,서원인텍,KOSDAQ
189860,서전기전,KOSDAQ
178320,서진시스템,KOSDAQ
122690,서진오토모티브,KOSDAQ
140070,서플러스글로벌,KOSDAQ
011370,서한,KOSDAQ
065710,서호전기,KOSDAQ
033790,서화정보통신,KOSDAQ
035890,서희건설,KOSDAQ
003100,선광,KOSDAQ
123420,선데이토즈,KOSDAQ
014620,성광벤드,KOSDAQ
037350,성도이엔지,KOSDAQ
081580,성우전자,KOSDAQ
045300,성우테크론,KOSDAQ
015750,성우하이텍,KOSDAQ
080470,성창오토텍,KOSDAQ
043260,성호전자,KOSDAQ
053060,세동,KOSDAQ
017510,세명전기,KOSDAQ
214310,세미콘라이트,KOSDAQ
011560,세보엠이씨,KOSDAQ
100700,세운메디칼,KOSDAQ
024830,세원물산,KOSDAQ
036630,세종텔레콤,KOSDAQ
039310,세중,KOSDAQ
067770,세진티에스,KOSDAQ
053450,세코닉스,KOSDAQ
049180,셀루메드,KOSDAQ
108860,셀바스AI,KOSDAQ
208370,셀바스헬스케어,KOSDAQ
068270,셀트리온,KOSDAQ
068760,셀트리온제약,KOSDAQ
091990,셀트리온헬스케어,KOSDAQ
053110,소리바다,KOSDAQ
032680,소프트센,KOSDAQ
032685,소프트센우,KOSDAQ
066910,손오공,KOSDAQ
043100,솔고바이오,KOSDAQ
154040,솔루에타,KOSDAQ
035610,솔본,KOSDAQ
036830,솔브레인,KOSDAQ
230980,솔트웍스,KOSDAQ
086980,쇼박스,KOSDAQ
050960,수산아이앤티,KOSDAQ
084180,수성,KOSDAQ
236200,슈프리마,KOSDAQ
094840,슈프리마에이치큐,KOSDAQ
192440,슈피겐코리아,KOSDAQ
099440,스맥,KOSDAQ
159910,스킨앤스킨,KOSDAQ
115570,스타플렉스,KOSDAQ
087220,스틸플라워,KOSDAQ
028040,스페로 글로벌,KOSDAQ
013810,스페코,KOSDAQ
039670,스포츠서울,KOSDAQ
049830,승일,KOSDAQ
020710,시공테크,KOSDAQ
033170,시그네틱스,KOSDAQ
025320,시노펙스,KOSDAQ
131090,시큐브,KOSDAQ
001000,신라섬유,KOSDAQ
025870,신라에스지,KOSDAQ
215600,신라젠,KOSDAQ
065350,신성델타테크,KOSDAQ
056000,신스타임즈,KOSDAQ
002800,신신제약,KOSDAQ
225590,신영스팩2호,KOSDAQ
263770,신영스팩3호,KOSDAQ
017000,신원종합개발,KOSDAQ
012790,신일제약,KOSDAQ
138070,신진에스엠,KOSDAQ
257730,신한제3호스팩,KOSDAQ
056700,신화인터텍,KOSDAQ
187270,신화콘텍,KOSDAQ
108320,실리콘웍스,KOSDAQ
222800,심텍,KOSDAQ
036710,심텍홀딩스,KOSDAQ
160980,싸이맥스,KOSDAQ
010280,쌍용정보통신,KOSDAQ
051170,썬코어,KOSDAQ
122800,썬텍,KOSDAQ
208640,썸에이지,KOSDAQ
222420,쎄노텍,KOSDAQ
037760,쎄니트,KOSDAQ
136510,쎄미시스코,KOSDAQ
099320,쎄트렉아이,KOSDAQ
049960,쎌바이오텍,KOSDAQ
050890,쏠리드,KOSDAQ
099830,씨그널엔터테인먼트그룹,KOSDAQ
066790,씨씨에스,KOSDAQ
222080,씨아이에스,KOSDAQ
115530,씨엔플러스,KOSDAQ
225330,씨엠에스에듀,KOSDAQ
115480,씨유메디칼,KOSDAQ
096530,씨젠,KOSDAQ
900120,씨케이에이치,KOSDAQ
101240,씨큐브,KOSDAQ
047920,씨트리,KOSDAQ
060590,씨티씨바이오,KOSDAQ
036170,씨티엘,KOSDAQ
013990,아가방컴퍼니,KOSDAQ
123860,아나패스,KOSDAQ
058220,아리온,KOSDAQ
052710,아모텍,KOSDAQ
074430,아미노로직스,KOSDAQ
092040,아미코젠,KOSDAQ
083930,아바코,KOSDAQ
149950,아바텍,KOSDAQ
036010,아비코전자,KOSDAQ
050860,아세아텍,KOSDAQ
246720,아스타,KOSDAQ
067390,아스트,KOSDAQ
127710,아시아경제,KOSDAQ
227610,아우딘퓨쳐스,KOSDAQ
143160,아이디스,KOSDAQ
054800,아이디스홀딩스,KOSDAQ
060570,아이리버,KOSDAQ
099190,아이센스,KOSDAQ
214430,아이쓰리시스템,KOSDAQ
040910,아이씨디,KOSDAQ
068940,아이씨케이,KOSDAQ
052860,아이앤씨,KOSDAQ
069920,아이에스이커머스,KOSDAQ
038880,아이에이,KOSDAQ
101390,아이엠,KOSDAQ
226350,아이엠텍,KOSDAQ
078860,아이오케이,KOSDAQ
114810,아이원스,KOSDAQ
023430,아이이,KOSDAQ
031310,아이즈비전,KOSDAQ
139050,아이지스시스템,KOSDAQ
185490,아이진,KOSDAQ
059100,아이컴포넌트,KOSDAQ
052460,아이크래프트,KOSDAQ
119830,아이텍반도체,KOSDAQ
124500,아이티센,KOSDAQ
032080,아즈텍WB,KOSDAQ
013310,아진산업,KOSDAQ
059120,아진엑스텍,KOSDAQ
023890,아트라스BX,KOSDAQ
067160,아프리카TV,KOSDAQ
001540,안국약품,KOSDAQ
053800,안랩,KOSDAQ
065660,안트로젠,KOSDAQ
106080,알비케이이엠디,KOSDAQ
131370,알서포트,KOSDAQ
096610,알에프세미,KOSDAQ
061040,알에프텍,KOSDAQ
148250,알엔투테크놀로지,KOSDAQ
196170,알테오젠,KOSDAQ
123750,알톤스포츠,KOSDAQ
085810,알티캐스트,KOSDAQ
117670,알파홀딩스,KOSDAQ
196300,애니젠,KOSDAQ
205500,액션스퀘어,KOSDAQ
052790,액토즈소프트,KOSDAQ
131400,액트,KOSDAQ
238090,앤디포스,KOSDAQ
030960,양지사,KOSDAQ
102120,어보브반도체,KOSDAQ
019990,에너토크,KOSDAQ
025980,에머슨퍼시픽,KOSDAQ
041440,에버다임,KOSDAQ
038680,에스넷,KOSDAQ
217480,에스디생명공학,KOSDAQ
121890,에스디시스템,KOSDAQ
030270,에스마크,KOSDAQ
097780,에스맥,KOSDAQ
042110,에스씨디,KOSDAQ
065420,에스아이리소스,KOSDAQ
050320,에스아이티글로벌,KOSDAQ
103230,에스앤더블류,KOSDAQ
900080,에스앤씨엔진그룹,KOSDAQ
101490,에스앤에스텍,KOSDAQ
095910,에스에너지,KOSDAQ
031330,에스에이엠티,KOSDAQ
060540,에스에이티,KOSDAQ
112240,에스에프씨,KOSDAQ
056190,에스에프에이,KOSDAQ
080000,에스엔유,KOSDAQ
160600,에스엔텍,KOSDAQ
041510,에스엠,KOSDAQ
007820,에스엠코어,KOSDAQ
109610,에스와이패널,KOSDAQ
080440,에스제이케이,KOSDAQ
096630,에스코넥,KOSDAQ
069510,에스텍,KOSDAQ
041910,에스텍파마,KOSDAQ
039440,에스티아이,KOSDAQ
098660,에스티오,KOSDAQ
052020,에스티큐브,KOSDAQ
237690,에스티팜,KOSDAQ
050760,에스폴리텍,KOSDAQ
